"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"NA19661_38.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_39.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_39.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_39.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_39.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_39.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_39.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_39.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_39.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_4.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_4.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_4.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_4.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_4.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_4.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_4.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_4.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_40.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_41.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_42.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_42.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_42.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_42.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_42.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_42.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_42.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_42.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_43.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_43.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_43.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_43.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_43.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_43.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_43.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_44.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_44.0.4.bam"	"ND"	"ND"	"0"	"2"
