"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"HG00473_30.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_30.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.1.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_31.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_32.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_32.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_32.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_32.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_32.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_32.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_32.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_32.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_33.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_33.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_33.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_33.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_33.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_33.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_33.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_33.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_34.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_34.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_34.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_34.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_34.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_34.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_34.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_34.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_35.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_35.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_35.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_35.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_35.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_35.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_36.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_36.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_36.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_36.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_36.0.8.bam"	"ND"	"ND"	"0"	"2"
