"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"numtS_and_A2_n1000_l100_rep30_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep30_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep30_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep30_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.02_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep31_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"3"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep32_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep33_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"3"
"numtS_and_A2_n1000_l100_rep33_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep33_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep34_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.02_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep35_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep36_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.02_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep37_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
